strong,12000,1,8,0.000422
strong,12000,2,8,0.000219
strong,12000,3,8,0.000158
strong,12000,4,8,0.000126
strong,12000,5,8,0.000114
strong,12000,6,8,0.000095
strong,12000,7,8,0.000096
strong,12000,8,8,0.000083
strong,12000,9,8,0.000077
strong,12000,10,8,0.000072
strong,12000,11,8,0.000099
strong,12000,12,8,0.000098
weak,1200,1,8,0.000052
weak,2400,2,8,0.000054
weak,3600,3,8,0.000057
weak,4800,4,8,0.000064
weak,6000,5,8,0.000072
weak,7200,6,8,0.000068
weak,8400,7,8,0.000076
weak,9600,8,8,0.000072
weak,10800,9,8,0.000071
weak,12000,10,8,0.000069
weak,13200,11,8,0.000083
weak,14400,12,8,0.000072
strong,18238420,1,8,0.625790
strong,18238420,2,8,0.312961
strong,18238420,3,8,0.208674
strong,18238420,4,8,0.178244
strong,18238420,5,8,0.142770
strong,18238420,6,8,0.104454
strong,18238420,7,8,0.091783
strong,18238420,8,8,0.078384
strong,18238420,9,8,0.071949
strong,18238420,10,8,0.062715
strong,18238420,11,8,0.057129
strong,18238420,12,8,0.052374
weak,1823842,1,8,0.062597
weak,3647684,2,8,0.062613
weak,5471526,3,8,0.062618
weak,7295368,4,8,0.062613
weak,9119210,5,8,0.062711
weak,10943052,6,8,0.062732
weak,12766894,7,8,0.062737
weak,14590736,8,8,0.062699
weak,16414578,9,8,0.062704
weak,18238420,10,8,0.062695
weak,20062262,11,8,0.062743
weak,21886104,12,8,0.062802
strong,27720000000,1,8,951.464038
strong,27720000000,2,8,475.999932
strong,27720000000,3,8,317.327742
strong,27720000000,4,8,238.035055
strong,27720000000,5,8,190.344237
strong,27720000000,6,8,158.628073
strong,27720000000,7,8,140.482925
strong,27720000000,8,8,118.968883
strong,27720000000,9,8,105.698088
strong,27720000000,10,8,98.223347
strong,27720000000,11,8,98.465478
strong,27720000000,12,8,79.281627
weak,2772000000,1,8,95.092087
weak,5544000000,2,8,98.259307
weak,8316000000,3,8,95.098812
weak,11088000000,4,8,95.114176
weak,13860000000,5,8,95.097179
weak,16632000000,6,8,95.115379
weak,19404000000,7,8,95.114682
weak,22176000000,8,8,95.101516
weak,24948000000,9,8,95.101092
weak,27720000000,10,8,98.223910
weak,30492000000,11,8,95.123845
weak,33264000000,12,8,95.135983
